Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
368, 0.0232068  , 0.187463 , 0.00125342  
369, 0.0200422  , 0.187352 , 0.00100626  
370, 0.0168776  , 0.175849 , 0.000949558 
371, 0.0189873  , 0.184903 , 0.0011688   
372, 0.0200422  , 0.180744 , 0.00072329  
373, 0.0221519  , 0.171212 , 0.000515272 
374, 0.0242616  , 0.194621 , 0.00250668  
375, 0.0221519  , 0.187723 , 0.00263102  
376, 0.0200422  , 0.176274 , 0.00160462  
377, 0.0232068  , 0.177694 , 0.000927146 
378, 0.0221519  , 0.180813 , 0.000710481 
379, 0.0158228  , 0.17843  , 0.0179185   
380, 0.021097   , 0.194501 , 0.00234683  
381, 0.0189873  , 0.191825 , 0.00137207  
382, 0.0242616  , 0.16974  , 0.000138395 
383, 0.0200422  , 0.167019 , 1.75469e-05 
384, 0.021097   , 0.191903 , 0.00163163  
385, 0.0221519  , 0.195787 , 0.00193737  
386, 0.0232068  , 0.176372 , 0.00159452  
387, 0.0242616  , 0.17177  , 0.000386661 
388, 0.0200422  , 0.177595 , 0.00101768  
389, 0.028481   , 0.187648 , 0.00173125  
390, 0.0158228  , 0.134506 , 8.43921e-05 
391, 0.0242616  , 0.154423 , 0.0121413   
392, 0.021097   , 0.148963 , 0.000800314 
393, 0.0242616  , 0.14915  , 0.00119612  
394, 0.0221519  , 0.134487 , 0.000106319 
395, 0.0242616  , 0.154599 , 0.0150461   
396, 0.021097   , 0.145198 , 0.00117092  
397, 0.0221519  , 0.149103 , 0.000850104 
398, 0.0274262  , 0.168833 , 0.0680884   
399, 0.0274262  , 0.149221 , 0.00113447  
400, 0.021097   , 0.130435 , 1.86029e-05 
401, 0.0242616  , 0.148869 , 0.00116898  
402, 0.0179325  , 0.145132 , 0.000539454 
403, 0.0232068  , 0.148846 , 0.000979536 
404, 0.0242616  , 0.14915  , 0.00101608  
405, 0.0179325  , 0.134544 , 1.93655e-05 
406, 0.0200422  , 0.149057 , 0.000633552 
407, 0.0189873  , 0.130399 , 1.52664e-05 
408, 0.0232068  , 0.134736 , 0.000250801 
409, 0.0221519  , 0.148986 , 0.00144394  
410, 0.0242616  , 0.149033 , 0.000847142 
411, 0.0158228  , 0.145087 , 0.000434255 
412, 0.0189873  , 0.13443  , 6.7785e-05  
413, 0.0253165  , 0.149057 , 0.00147703  
414, 0.0200422  , 0.134583 , 7.4109e-05  
415, 0.0179325  , 0.148729 , 0.000659094 
416, 0.0253165  , 0.145287 , 0.000585394 
417, 0.021097   , 0.134602 , 0.000106636 
418, 0.0168776  , 0.145109 , 0.000545922 
419, 0.0253165  , 0.134544 , 0.000166365 
420, 0.021097   , 0.14908  , 0.00083892  
421, 0.0168776  , 0.134621 , 0.000121551 
422, 0.021097   , 0.130435 , 1.95395e-05 
423, 0.0200422  , 0.134449 , 8.29034e-05 
424, 0.0242616  , 0.14915  , 0.0010568   
425, 0.0221519  , 0.148823 , 0.0011762   
426, 0.0274262  , 0.149221 , 0.00131625  
427, 0.0158228  , 0.145087 , 0.000628365 
428, 0.0263713  , 0.149197 , 0.00107148  
429, 0.0232068  , 0.134736 , 0.000236686 
430, 0.0168776  , 0.148334 , 0.00113525  
431, 0.00949367 , 0.153249 , 0.000357119 
432, 0.0242616  , 0.155972 , 0.00168932  
433, 0.0158228  , 0.152657 , 0.0115539   
434, 0.0179325  , 0.167699 , 0.0306151   
435, 0.0200422  , 0.155921 , 0.00146627  
436, 0.0147679  , 0.145109 , 0.000198298 
437, 0.0168776  , 0.147848 , 0.000278215 
438, 0.0158228  , 0.138455 , 5.74159e-05 
439, 0.0168776  , 0.155614 , 0.000799148 
440, 0.0189873  , 0.156049 , 0.00139707  
441, 0.021097   , 0.148287 , 0.000431767 
442, 0.021097   , 0.148079 , 0.000638421 
443, 0.0168776  , 0.155614 , 0.000990516 
444, 0.0200422  , 0.155639 , 0.00134363  
445, 0.0189873  , 0.163055 , 0.0215286   
446, 0.0232068  , 0.152829 , 0.0146463   
447, 0.0242616  , 0.147963 , 0.000330429 
448, 0.0168776  , 0.138475 , 3.06302e-05 
449, 0.0189873  , 0.168833 , 0.0218651   
450, 0.021097   , 0.153522 , 0.000856631 
451, 0.0147679  , 0.146319 , 0.000549022 
452, 0.0168776  , 0.147986 , 0.000439563 
453, 0.0189873  , 0.14838  , 0.00095136  
454, 0.021097   , 0.148079 , 0.000504089 
455, 0.0189873  , 0.153473 , 0.00103232  
456, 0.0158228  , 0.155588 , 0.000931729 
457, 0.0137131  , 0.135525 , 7.14804e-06 
458, 0.0221519  , 0.148171 , 0.000368074 
459, 0.021097   , 0.155947 , 0.00167376  
460, 0.0232068  , 0.155947 , 0.00164037  
461, 0.0168776  , 0.147848 , 0.000339305 
462, 0.0200422  , 0.147917 , 0.000293856 
463, 0.0221519  , 0.138759 , 0.000103021 
464, 0.0221519  , 0.168473 , 0.000549144 
465, 0.0253165  , 0.168563 , 0.00057642  
466, 0.0189873  , 0.161499 , 0.000254639 
467, 0.0242616  , 0.168533 , 0.000460082 
468, 0.0221519  , 0.170872 , 0.000765331 
469, 0.0221519  , 0.194821 , 0.0347714   
470, 0.0274262  , 0.176899 , 0.00114364  
471, 0.0337553  , 0.180847 , 0.0331899   
472, 0.021097   , 0.168593 , 0.000420945 
473, 0.0221519  , 0.170688 , 0.000945456 
474, 0.0189873  , 0.155691 , 9.13725e-05 
475, 0.0263713  , 0.183224 , 0.0227857   
476, 0.0253165  , 0.161664 , 0.000369212 
477, 0.028481   , 0.177995 , 0.00187362  
478, 0.0263713  , 0.161692 , 0.00038615  
479, 0.0295359  , 0.178028 , 0.00159639  
480, 0.0200422  , 0.176668 , 0.000817051 
481, 0.0305907  , 0.168713 , 0.000807482 
482, 0.0263713  , 0.177928 , 0.00180647  
483, 0.0274262  , 0.173151 , 0.000779308 
484, 0.0253165  , 0.170965 , 0.000679076 
485, 0.0305907  , 0.175588 , 0.00113552  
486, 0.0263713  , 0.159704 , 0.000236314 
487, 0.0263713  , 0.175458 , 0.000898701 
488, 0.0242616  , 0.153946 , 2.73738e-05 
489, 0.0253165  , 0.161664 , 0.000245068 
490, 0.021097   , 0.159569 , 0.000188092 
491, 0.0253165  , 0.176833 , 0.00107262  
492, 0.0253165  , 0.17078  , 0.00100866  
493, 0.0221519  , 0.177794 , 0.00151176  
494, 0.0189873  , 0.161499 , 0.000298338 
495, 0.0232068  , 0.173024 , 0.00079584  
496, 0.0253165  , 0.176833 , 0.00122987  
497, 0.028481   , 0.166462 , 0.000494552 
498, 0.0200422  , 0.176668 , 0.00100316  
499, 0.0242616  , 0.173056 , 0.00111151  
500, 0.028481   , 0.201018 , 0.0663125   
501, 0.0263713  , 0.168593 , 0.0005512   
502, 0.0221519  , 0.175328 , 0.00090902  
503, 0.0295359  , 0.171088 , 0.000881274 
504, 0.0242616  , 0.168683 , 0.000590106 
505, 0.0242616  , 0.155819 , 0.000109133 
506, 0.0263713  , 0.15587  , 0.000106722 
507, 0.0221519  , 0.161582 , 0.000356339 
508, 0.0221519  , 0.175328 , 0.000913365 
509, 0.0263713  , 0.173087 , 0.00103688  
510, 0.0263713  , 0.170996 , 0.00064737  
511, 0.0263713  , 0.175458 , 0.00125887  
512, 0.0189873  , 0.220056 , 0.0679601   
513, 0.0137131  , 0.181923 , 0.0110699   
514, 0.0116034  , 0.196436 , 0.00190571  
515, 0.0158228  , 0.194901 , 0.00181295  
516, 0.0126582  , 0.187834 , 0.00109635  
517, 0.0168776  , 0.18979  , 0.00175017  
518, 0.0147679  , 0.196355 , 0.00406338  
519, 0.0126582  , 0.189638 , 0.000808888 
520, 0.0116034  , 0.180813 , 0.00116144  
521, 0.0189873  , 0.182308 , 0.00225062  
522, 0.0105485  , 0.176405 , 0.000650686 
523, 0.0158228  , 0.192997 , 0.0144121   
524, 0.0147679  , 0.173277 , 0.000254733 
525, 0.0158228  , 0.193588 , 0.0188459   
526, 0.0137131  , 0.176932 , 0.000566527 
527, 0.0105485  , 0.174747 , 0.000291123 
528, 0.0137131  , 0.189335 , 0.000743793 
529, 0.0137131  , 0.173626 , 0.000100064 
530, 0.0126582  , 0.18892  , 0.00285182  
531, 0.0168776  , 0.198909 , 0.00557618  
532, 0.0147679  , 0.194861 , 0.00159619  
533, 0.0137131  , 0.203608 , 0.0267823   
534, 0.0137131  , 0.186614 , 0.00082925  
535, 0.0137131  , 0.180606 , 0.00130184  
536, 0.0147679  , 0.194621 , 0.014159    
537, 0.0105485  , 0.186065 , 0.0175788   
538, 0.0158228  , 0.193865 , 0.00139758  
539, 0.0137131  , 0.173341 , 0.000450222 
540, 0.0189873  , 0.16755  , 0.000844103 
541, 0.0147679  , 0.168864 , 0.000861784 
542, 0.0126582  , 0.157371 , 7.56333e-05 
543, 0.0168776  , 0.168414 , 0.000777527 
544, 0.0179325  , 0.162579 , 0.000429055 
545, 0.0221519  , 0.174618 , 0.0139314   
546, 0.0126582  , 0.157371 , 0.00019267  
547, 0.0168776  , 0.162384 , 0.000507768 
548, 0.0200422  , 0.161941 , 0.00071559  
549, 0.0147679  , 0.160651 , 0.000151209 
550, 0.0200422  , 0.177263 , 0.022732    
551, 0.0189873  , 0.177961 , 0.0129251   
