Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
456, 0.0214133  , 0.16109  , 0.000560511 
457, 0.0267666  , 0.174939 , 0.002458    
458, 0.0267666  , 0.161229 , 0.000580924 
459, 0.0235546  , 0.166488 , 0.00130086  
460, 0.0149893  , 0.16134  , 0.000455542 
461, 0.0246253  , 0.166518 , 0.00163192  
462, 0.0235546  , 0.149848 , 2.38022e-05 
463, 0.0299786  , 0.179236 , 0.0529495   
464, 0.0267666  , 0.174939 , 0.00259507  
465, 0.0267666  , 0.174939 , 0.00270415  
466, 0.0289079  , 0.155719 , 0.000649118 
467, 0.0256959  , 0.174906 , 0.00231785  
468, 0.0256959  , 0.185649 , 0.0358319   
469, 0.0214133  , 0.161508 , 0.000361797 
470, 0.0224839  , 0.161118 , 0.000482357 
471, 0.0246253  , 0.174677 , 0.027247    
472, 0.0278373  , 0.161257 , 0.000407364 
473, 0.0246253  , 0.161173 , 0.000338528 
474, 0.0214133  , 0.16109  , 0.00044157  
475, 0.0256959  , 0.174906 , 0.00233137  
476, 0.0214133  , 0.169849 , 0.00108336  
477, 0.0203426  , 0.169818 , 0.00110205  
478, 0.0235546  , 0.149848 , 2.39655e-05 
479, 0.0267666  , 0.174939 , 0.00247622  
480, 0.0182013  , 0.169756 , 0.000827378 
481, 0.0192719  , 0.161034 , 0.000310194 
482, 0.0192719  , 0.149751 , 1.42594e-05 
483, 0.0214133  , 0.174775 , 0.00168433  
484, 0.0224839  , 0.174808 , 0.00211597  
485, 0.0235546  , 0.174841 , 0.00226726  
486, 0.0203426  , 0.161062 , 0.000246918 
487, 0.0267666  , 0.155667 , 0.000295355 
488, 0.0214133  , 0.174775 , 0.00201595  
489, 0.0224839  , 0.166192 , 0.000933793 
490, 0.0267666  , 0.166311 , 0.000797357 
491, 0.0214133  , 0.155537 , 0.000327254 
492, 0.0235546  , 0.166488 , 0.00131135  
493, 0.0278373  , 0.174972 , 0.0023292   
494, 0.0171306  , 0.149703 , 1.26147e-05 
495, 0.0246253  , 0.166251 , 0.000825456 
496, 0.0224839  , 0.161536 , 0.00041198  
497, 0.0235546  , 0.161564 , 0.000579994 
498, 0.0224839  , 0.149824 , 2.2453e-05  
499, 0.0171306  , 0.15708  , 0.000119538 
500, 0.0224839  , 0.178756 , 0.00383459  
501, 0.0182013  , 0.176226 , 0.0266606   
502, 0.0192719  , 0.181571 , 0.00446431  
503, 0.0149893  , 0.157028 , 0.000119315 
504, 0.0139186  , 0.186427 , 0.0548745   
505, 0.0139186  , 0.159713 , 0.000295638 
506, 0.01606    , 0.165897 , 0.000796585 
507, 0.0182013  , 0.181535 , 0.00499612  
508, 0.0107066  , 0.16252  , 0.000722487 
509, 0.0149893  , 0.177162 , 0.00283342  
510, 0.0117773  , 0.163344 , 0.000382269 
511, 0.01606    , 0.178551 , 0.0024458   
512, 0.0182013  , 0.17507  , 0.00368511  
513, 0.0107066  , 0.16252  , 0.000829295 
514, 0.01606    , 0.184694 , 0.0220498   
515, 0.0171306  , 0.162689 , 0.00089784  
516, 0.0171306  , 0.1815   , 0.00448398  
517, 0.0139186  , 0.181394 , 0.00366165  
518, 0.0182013  , 0.162718 , 0.000945823 
519, 0.0203426  , 0.161676 , 0.0186743   
520, 0.0214133  , 0.162803 , 0.00108276  
521, 0.0203426  , 0.163573 , 0.000664409 
522, 0.0171306  , 0.17723  , 0.00290583  
523, 0.0139186  , 0.168137 , 0.000700295 
524, 0.0149893  , 0.154329 , 1.39231e-05 
525, 0.0139186  , 0.154304 , 1.09256e-05 
526, 0.0139186  , 0.157001 , 8.63652e-05 
527, 0.0203426  , 0.170314 , 0.0024942   
528, 0.0139186  , 0.171597 , 0.00236182  
529, 0.0171306  , 0.165926 , 0.000605238 
530, 0.0235546  , 0.144359 , 0.000213911 
531, 0.0246253  , 0.144986 , 0.00015539  
532, 0.0235546  , 0.162576 , 0.00115471  
